Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
Fox News,https://www.foxnews.com/world/china-surrounds-taiwan-military-exercise-against-independence,China surrounds Taiwan in military exercise against independence,China has launched massive military exercises surrounding Taiwan in response to the island refusing to follow the rule of the Communist Party.,21 hours ago,2024-10-15 13:35:50.853826,China News,-,China,-
Fox News,https://www.foxnews.com/us/chinese-university-michigan-students-charged-after-allegedly-spying-military-base,Chinese University of Michigan students charged after allegedly spying on military base,Five former University of Michigan students have been charged after they allegedly covered up spying on a National Guard training center in Michigan for China.,2 days ago,2024-10-15 13:35:50.931956,China News,-,China,-
Fox News,https://www.foxnews.com/video/6363206160112,"Trump: We've been 'screwed' by Mexico, China, European Union | Fox News Video",Former President Trump details his foreign policy and trade policies on ‘Sunday Morning Futures.’,1 day ago,2024-10-15 13:35:51.010036,China News,-,China,-
Fox News,https://www.foxnews.com/category/world/world-regions/china,China | Fox News,"The People’s Republic of China is the world’s most populous country, with a population of around 1.4billion. One of the world’s earliest civilizations, its political system was based on dynasties, eventually ending in 1912. In 1949, the Communist Party established the PRC. Since the introduction of economic reforms in 1978, China’s economy has been one of the world’s fastest-growing. It is a permanent member of the United Nations Security Council.",6 hours ago,2024-10-15 13:35:51.088141,China News,-,China,-
Fox News,https://www.foxnews.com/politics/jd-vance-warns-consequences-america-we-continue-rely-chinese-slave-labor,JD Vance warns of consequences for America if we continue to rely on 'Chinese slave labor',"Sen. JD Vance sounded the alarm on U.S. manufacturing on Sunday, telling Fox News that America has relied too long on Chinese ""slave labor.""",1 day ago,2024-10-15 13:35:51.166248,China News,-,China,-
Fox News,https://www.foxnews.com/us/navy-prepares-china-conflict-newly-announced-strategy,Navy prepares for China conflict with newly announced strategy,"The United States Navy released its ""Navigation Plan for America’s Warfighting Navy"" on Thursday, outlining how the U.S. will meet the growing threat of Chinese military aggression against Taiwan by 2027.",September 19,2024-10-15 13:35:51.228733,China News,-,China,-
Fox News,https://www.foxnews.com/media/donald-trump-weve-been-screwed-trade-mexico-china-european-union,"Donald Trump: We've been 'screwed' on trade by Mexico, China, European Union","Former President Trump proposes a re-negotiation of the U.S.–Mexico–Canada Agreement while claiming America has been ""screwed"" by trade partners over the past four years on ""Sunday Morning Futures.""",1 day ago,2024-10-15 13:35:51.322464,China News,-,China,-
Fox News,https://www.foxnews.com/video/6363235850112,China launches military drills surrounding Taiwan | Fox News Video,Chinese state TV broadcast captures purported military activity surrounding Taiwan. (Credit: Reuters),20 hours ago,2024-10-15 13:35:51.400569,China News,-,China,-
Fox News,https://www.foxnews.com/politics/taiwan-official-warns-china-russia-iran-forming-alliance-after-blinken-says-no-axis-exists,"Taiwan official warns China, Russia, Iran 'working together' ","Taiwan's new representative in the U.S. is warning about the alliance among China, Russia, Iran and North Korea.",October 4,2024-10-15 13:35:51.478674,China News,-,China,-
Fox News,https://www.foxnews.com/politics/walz-forced-correct-record-whether-he-china-tiananmen-square-protests,Walz forced to correct record on whether he was in China for the Tiananmen Square protests,"Minnesota Gov. Tim Walz, the Democratic vice presidential nominee, had to answer questions about his controversial travel to China and misstatements about those trips during the debate.",October 1,2024-10-15 13:35:51.572403,China News,-,China,-
Fox News,https://www.foxnews.com/world/china-surrounds-taiwan-military-exercise-against-independence,China surrounds Taiwan in military exercise against independence,China has launched massive military exercises surrounding Taiwan in response to the island refusing to follow the rule of the Communist Party.,21 hours ago,2024-10-15 13:35:54.801734,China News,-,China,-
Fox News,https://www.foxnews.com/us/chinese-university-michigan-students-charged-after-allegedly-spying-military-base,Chinese University of Michigan students charged after allegedly spying on military base,Five former University of Michigan students have been charged after they allegedly covered up spying on a National Guard training center in Michigan for China.,2 days ago,2024-10-15 13:35:54.895462,China News,-,China,-
Fox News,https://www.foxnews.com/video/6363206160112,"Trump: We've been 'screwed' by Mexico, China, European Union | Fox News Video",Former President Trump details his foreign policy and trade policies on ‘Sunday Morning Futures.’,1 day ago,2024-10-15 13:35:54.957950,China News,-,China,-
Fox News,https://www.foxnews.com/category/world/world-regions/china,China | Fox News,"The People’s Republic of China is the world’s most populous country, with a population of around 1.4billion. One of the world’s earliest civilizations, its political system was based on dynasties, eventually ending in 1912. In 1949, the Communist Party established the PRC. Since the introduction of economic reforms in 1978, China’s economy has been one of the world’s fastest-growing. It is a permanent member of the United Nations Security Council.",6 hours ago,2024-10-15 13:35:55.036054,China News,-,China,-
Fox News,https://www.foxnews.com/politics/jd-vance-warns-consequences-america-we-continue-rely-chinese-slave-labor,JD Vance warns of consequences for America if we continue to rely on 'Chinese slave labor',"Sen. JD Vance sounded the alarm on U.S. manufacturing on Sunday, telling Fox News that America has relied too long on Chinese ""slave labor.""",1 day ago,2024-10-15 13:35:55.124449,China News,-,China,-
Fox News,https://www.foxnews.com/us/navy-prepares-china-conflict-newly-announced-strategy,Navy prepares for China conflict with newly announced strategy,"The United States Navy released its ""Navigation Plan for America’s Warfighting Navy"" on Thursday, outlining how the U.S. will meet the growing threat of Chinese military aggression against Taiwan by 2027.",September 19,2024-10-15 13:35:55.191172,China News,-,China,-
Fox News,https://www.foxnews.com/media/donald-trump-weve-been-screwed-trade-mexico-china-european-union,"Donald Trump: We've been 'screwed' on trade by Mexico, China, European Union","Former President Trump proposes a re-negotiation of the U.S.–Mexico–Canada Agreement while claiming America has been ""screwed"" by trade partners over the past four years on ""Sunday Morning Futures.""",1 day ago,2024-10-15 13:35:55.274623,China News,-,China,-
Fox News,https://www.foxnews.com/video/6363235850112,China launches military drills surrounding Taiwan | Fox News Video,Chinese state TV broadcast captures purported military activity surrounding Taiwan. (Credit: Reuters),20 hours ago,2024-10-15 13:35:55.374595,China News,-,China,-
Fox News,https://www.foxnews.com/politics/taiwan-official-warns-china-russia-iran-forming-alliance-after-blinken-says-no-axis-exists,"Taiwan official warns China, Russia, Iran 'working together' ","Taiwan's new representative in the U.S. is warning about the alliance among China, Russia, Iran and North Korea.",October 4,2024-10-15 13:35:55.474239,China News,-,China,-
Fox News,https://www.foxnews.com/politics/walz-forced-correct-record-whether-he-china-tiananmen-square-protests,Walz forced to correct record on whether he was in China for the Tiananmen Square protests,"Minnesota Gov. Tim Walz, the Democratic vice presidential nominee, had to answer questions about his controversial travel to China and misstatements about those trips during the debate.",October 1,2024-10-15 13:35:55.559187,China News,-,China,-
Fox News,https://www.foxnews.com/sports/mark-cuban-defends-nbas-china-partnership-despite-opposing-chinese-all-human-rights-violations,Mark Cuban defends NBA's China partnership despite opposing 'Chinese and all human rights violations',Dallas Mavericks minority owner Mark Cuban doubled down on his public approval for the NBA's partnership with China after previously defending and embracing it.,6 days ago,2024-10-15 13:35:55.624387,China News,-,China,-
Fox News,https://www.foxnews.com/politics/tim-walz-said-he-went-china-dozens-times-now-his-campaign-says-its-closer-15,"Tim Walz said he went to China 'dozens' of times, now his campaign says its 'closer to 15'","Vice presidential candidate Gov. Tim Walz exaggerated claims about how many times he traveled to China, telling people he spent much more time there than in actuality.",September 30,2024-10-15 13:35:55.707319,China News,-,China,-
