Source,Link,Headline,Description,Date,Timestamp,Topic,Author,Region,Article_Content
TRT World,https://www.trtworld.com/americas/coal-use-in-focus-on-eve-of-us-mid-term-elections-12782533,Coal use in focus on eve of US mid-term elections,"US President Biden says he wants to get rid of coal-fired power plants, angering a fellow Democrat who thinks high energy price necessitates burning of the dirtiest fossil fuel.",2 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/magazine/us-intel-china-did-not-interfere-with-us-elections-12760870,US intel: China did not interfere with US elections,New American intelligence report rules out Chinese meddling in the 2020 US presidential elections.,4 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/americas/bidens-popular-support-slumps-ahead-of-us-midterm-elections-poll-12782507,Biden's popular support slumps ahead of US midterm elections — poll,US President Biden's unpopularity is helping drive the view that Republicans will win control of the US House of Representatives and possibly the US Senate as well on Tuesday.,2 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/video/newsfeed/trump-supporters-using-digital-blackface-in-us-elections-12820419,Trump Supporters Using Digital Blackface in US Elections,"Digital Blackface on Twitter is a tactic that supporters of Donald Trump have been using to impersonate African-Americans to push right-wing causes online. And try and suppress the black vote. These accounts generated more than 265,000 interactions b...",4 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/americas/russia-used-social-media-for-meddling-in-us-politics-reports-12712508,Russia used social media for meddling in US politics – reports,"New reports say Moscow's troll farms didn't only work to discourage black voters in the US elections in 2016 to help elect Donald Trump, but they are reportedly still operating by pushing for racial and political passions in America.",6 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/americas/trump-renews-health-care-battle-for-2020-but-who-wins-12723563,"Trump renews health care battle for 2020, but who wins?","With the US presidential elections fast approaching, US President Donald Trump is seeking to rally his Conservative base against Obamacare.",6 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/video/news/us-turkey-elections-us-threatens-sanctions-over-arrested-pastor-12883645,US-Turkey Elections: US threatens sanctions over arrested pastor,"The US has threatened to impose sanctions against Turkey unless it releases American pastor Andrew Brunson. But in Turkey, Brunson stands accused of serious crimes, including involvement with terrorist groups. Lionel Donovan is in Washington with mor...",6 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/video/news/swing-states-likely-to-determine-us-election-outcome-12821002,Swing states likely to determine US election outcome,How do the US presidential elections work? Here is a quick rundown. 2020 Presidential Race 🇺🇸 👉 http://trt.world/Race2020 #SwingStates #US #Election,4 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/americas/bolton-tells-kremlin-dont-mess-with-us-elections-12710087,Bolton tells Kremlin: 'Don't mess with US elections',US National Security Adviser John Bolton says he told Russian officials that the Kremlin has hurt itself by meddling in the US election.,6 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
TRT World,https://www.trtworld.com/us-and-canada/senator-says-russia-aimed-propaganda-on-steroids-at-us-elections-13089179,"Senator says Russia aimed ""propaganda on steroids"" at US elections",US lawmakers call attention to possible Russian attempts to influence upcoming elections in France and Germany at a US Senate Intelligence Committee hearing.,8 YEARS AGO,2024-10-15 00:35:49.950091,US Presidential Elections,-,USA,-
